text,category,priority
monthly invoice missing,billing issue,medium
duplicate charge on credit card,billing issue,high
payment not reflected in account,billing issue,high
incorrect tax charged,billing issue,medium
service billed despite cancellation,billing issue,high
payment processing failed repeatedly,billing issue,high
refund amount not credited,billing issue,high
unexpected renewal charge,billing issue,medium
invoice contains wrong details,billing issue,medium
extra charges added to bill,billing issue,medium
discount not applied during payment,billing issue,medium
subscription fee deducted twice,billing issue,high
payment receipt unavailable,billing issue,low
billing statement inaccurate,billing issue,medium
refund status not updated,billing issue,medium
incorrect payment confirmation,billing issue,medium
payment gateway transaction failed,billing issue,high
invoice generation taking too long,billing issue,low
unable to sign into account,account issue,high
password reset page unavailable,account issue,medium
account access denied unexpectedly,account issue,high
login credentials not accepted,account issue,high
unable to verify user identity,account issue,medium
account temporarily disabled,account issue,high
profile update not saving,account issue,low
email address cannot be changed,account issue,medium
account recovery process failing,account issue,high
security verification not working,account issue,medium
unable to complete registration,account issue,medium
account locked after password reset,account issue,high
username unavailable during login,account issue,medium
verification code never arrives,account issue,medium
unable to manage account settings,account issue,low
two factor code invalid,account issue,medium
authentication process failing,account issue,high
login session expires immediately,account issue,medium
unable to link account,account issue,medium
account permissions incorrect,account issue,medium
add chatbot support feature,feature request,low
enable dashboard themes,feature request,low
provide report scheduling option,feature request,medium
add voice search capability,feature request,medium
allow custom notification rules,feature request,low
support third party integrations,feature request,medium
add user tagging functionality,feature request,low
enable offline mode support,feature request,medium
provide customizable widgets,feature request,low
add workflow automation tools,feature request,medium
support dark theme customization,feature request,low
allow exporting reports to csv,feature request,low
integrate with microsoft teams,feature request,medium
provide real time collaboration,feature request,medium
add custom dashboard layouts,feature request,low
support biometric authentication,feature request,medium
add activity tracking module,feature request,low
allow bulk data operations,feature request,medium
provide advanced filtering options,feature request,low
add reminder notification system,feature request,low
production server is down,technical issue,high
entire website unavailable,technical issue,high
all users unable to login,technical issue,high
critical service outage,technical issue,high
system unavailable for all customers,technical issue,high
website completely inaccessible,technical issue,high
application down for all users,technical issue,high
major system outage affecting customers,technical issue,high
critical server failure detected,technical issue,high
production environment not responding,technical issue,high
all services unavailable after deployment,technical issue,high
customers unable to access platform,technical issue,high
backend servers have stopped working,technical issue,high
emergency outage impacting all users,technical issue,high
database server unavailable,technical issue,high
login service down across the platform,technical issue,high
website returns 500 error for every request,technical issue,high
complete network outage in production,technical issue,high
application unavailable globally,technical issue,high
critical infrastructure failure detected,technical issue,high
